neck_base,neck_base,neck_base,neck_base,back_end,back_end,back_end,back_end,back_middle,back_middle,back_middle,back_middle,front_left_thai,front_left_thai,front_left_thai,front_left_thai,front_left_knee,front_left_knee,front_left_knee,front_left_knee,front_left_paw,front_left_paw,front_left_paw,front_left_paw,front_right_thai,front_right_thai,front_right_thai,front_right_thai,front_right_knee,front_right_knee,front_right_knee,front_right_knee,front_right_paw,front_right_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_left_paw,back_left_paw,back_left_thai,back_left_thai,back_left_thai,back_left_thai,back_right_thai,back_right_thai,back_right_thai,back_right_thai,back_left_knee,back_left_knee,back_left_knee,back_left_knee,back_right_knee,back_right_knee,back_right_knee,back_right_knee,back_right_paw,back_right_paw,back_right_paw,back_right_paw
x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z,x,y,likelihood,z
1217.765625,368.3203125,0.8330078125,72.61810210719705,683.328125,368.3203125,0.85107421875,9.272931361570954,950.546875,352.6171875,0.71923828125,0.0,1202.046875,603.8671875,0.8212890625,1.4797551576048136,1264.921875,855.1171875,0.54833984375,-10.718050943687558,1343.515625,949.3359375,0.8896484375,8.743524132296443,1029.140625,588.1640625,0.92138671875,106.02812081947923,1013.421875,808.0078125,0.802734375,77.01695097051561,966.265625,933.6328125,0.8759765625,17.70187570899725,730.484375,917.9296875,0.923828125,-93.57266476750374,793.359375,588.1640625,0.7978515625,-117.00462857075036,730.484375,572.4609375,0.7724609375,95.23809983022511,683.328125,760.8984375,0.873046875,-162.8310494683683,604.734375,698.0859375,0.9072265625,29.167800890281796,636.171875,870.8203125,0.91259765625,-71.45286578126252
1216.046875,353.609375,0.806640625,65.32707491144538,683.734375,369.265625,0.85107421875,8.658047143369913,949.890625,353.609375,0.71923828125,0.0,1200.390625,604.109375,0.828125,-1.5382197350263596,1263.015625,854.609375,0.5673828125,-11.953544847667217,1341.296875,948.546875,0.89501953125,6.021494090557098,1028.171875,588.453125,0.9208984375,102.99349845573306,1012.515625,807.640625,0.80859375,75.28264013305306,965.546875,932.890625,0.88671875,13.893390994518995,730.703125,917.234375,0.92529296875,-95.49768831953406,793.328125,588.453125,0.80126953125,-117.00105544552207,730.703125,572.796875,0.7744140625,94.19386385381222,683.734375,760.671875,0.869140625,-161.38433561846614,605.453125,698.046875,0.9111328125,28.1818158775568,636.765625,870.265625,0.9052734375,-73.3755440749228
1214.6875,353.9375,0.806640625,62.58461534976959,683.4375,369.5625,0.853515625,6.932555437088013,949.0625,353.9375,0.71923828125,0.0,1199.0625,603.9375,0.81591796875,-3.940553307533264,1261.5625,853.9375,0.58740234375,-13.6040678024292,1339.6875,947.6875,0.89794921875,3.6315466165542603,1027.1875,588.3125,0.927734375,99.80596441030502,1011.5625,807.0625,0.81591796875,73.90956872701645,964.6875,932.0625,0.89208984375,9.010038256645203,730.3125,916.4375,0.9228515625,-95.63623028993607,792.8125,588.3125,0.79931640625,-114.5540417432785,730.3125,572.6875,0.77392578125,94.11073166131973,683.4375,760.1875,0.8720703125,-155.63925337791443,605.3125,697.6875,0.9130859375,26.89953476190567,636.5625,885.1875,0.90869140625,-71.87811493873596
1214.7265625,353.9453125,0.80810546875,59.73898613732308,681.8828125,369.6171875,0.86279296875,4.943839445710182,948.3046875,353.9453125,0.73193359375,0.0,1199.0546875,604.6953125,0.81640625,-7.499591893516481,1261.7421875,824.1015625,0.55419921875,-17.70981748122722,1340.1015625,949.4765625,0.904296875,1.0372955314815044,1026.6640625,589.0234375,0.9248046875,96.05626165214926,1010.9921875,808.4296875,0.7998046875,72.13481727801263,963.9765625,933.8046875,0.890625,2.12041453178972,728.8984375,918.1328125,0.9150390625,-93.26353846583515,791.5859375,589.0234375,0.787109375,-109.81926883384585,744.5703125,573.3515625,0.77734375,94.8008912075311,681.8828125,761.4140625,0.87744140625,-142.6060673063621,603.5234375,698.7265625,0.908203125,22.192043332383037,634.8671875,871.1171875,0.92041015625,-75.58136600628495
1224.2890625,349.2578125,0.890625,55.222164892591536,680.1484375,364.8046875,0.875,-6.120586887933314,944.4453125,349.2578125,0.7626953125,0.0,1208.7421875,582.4609375,0.8603515625,28.60516742710024,1239.8359375,846.7578125,0.65380859375,-21.076191601343453,1302.0234375,940.0390625,0.896484375,-6.687118493951857,1037.7265625,598.0078125,0.91845703125,97.77018471714109,1068.8203125,800.1171875,0.826171875,65.17898989468813,1006.6328125,908.9453125,0.89697265625,-42.427843728102744,695.6953125,893.3984375,0.830078125,-90.07839946914464,804.5234375,566.9140625,0.65478515625,-105.57562879472971,757.8828125,566.9140625,0.77099609375,88.24491864535958,680.1484375,737.9296875,0.83154296875,-166.75184339098632,633.5078125,706.8359375,0.86083984375,2.9097256204113364,695.6953125,877.8515625,0.69384765625,-94.77512141689658
1219.609375,358.8046875,0.87744140625,39.740813206881285,676.015625,374.3515625,0.88623046875,-14.555663788691163,955.578125,358.8046875,0.71826171875,0.0,1204.078125,592.0078125,0.85107421875,-5.9225248377770185,1235.140625,840.7578125,0.64111328125,-37.17320045270026,1312.796875,949.5859375,0.8896484375,-19.4543001037091,1033.234375,592.0078125,0.90966796875,78.04664708301425,1079.828125,794.1171875,0.79833984375,50.69277875311673,1002.171875,902.9453125,0.89599609375,-56.10803057067096,707.078125,902.9453125,0.79541015625,-103.53973082080483,800.265625,560.9140625,0.6962890625,-103.8340058811009,753.671875,560.9140625,0.75390625,70.28074331767857,676.015625,731.9296875,0.80078125,-150.1941027455032,644.953125,716.3828125,0.8818359375,-41.178119607269764,707.078125,902.9453125,0.70947265625,-103.53973082080483
1218.4453125,356.0234375,0.912109375,57.04169223923236,683.4765625,371.7578125,0.89111328125,9.458090821281075,950.9609375,340.2890625,0.720703125,0.0,1202.7109375,592.0390625,0.85595703125,10.20580261014402,1202.7109375,812.3203125,0.78173828125,-6.063744105398655,1281.3828125,953.9296875,0.90673828125,-0.07574048545211554,1061.1015625,592.0390625,0.91357421875,111.87542650289834,1139.7734375,796.5859375,0.86328125,132.04894048720598,1092.5703125,890.9921875,0.8779296875,2.4643061980605125,683.4765625,922.4609375,0.6064453125,-71.62907497398555,746.4140625,560.5703125,0.677734375,86.34206456597894,762.1484375,576.3046875,0.8544921875,84.20174942631274,683.4765625,733.6484375,0.80322265625,-59.29560234118253,652.0078125,733.6484375,0.865234375,-58.74018602818251,730.6796875,890.9921875,0.67578125,-81.68903124891222
1215.1640625,351.078125,0.85791015625,31.490981115028262,678.0703125,366.859375,0.8916015625,-20.166106428951025,946.6171875,351.078125,0.77490234375,0.0,1215.1640625,587.796875,0.87646484375,9.26674935221672,1199.3671875,808.734375,0.8046875,-25.254320178180933,1278.3515625,950.765625,0.89794921875,-19.134194614365697,1057.1953125,587.796875,0.86376953125,87.44758743792772,1136.1796875,792.953125,0.818359375,105.27211472764611,1088.7890625,903.421875,0.87158203125,-38.56930738314986,678.0703125,919.203125,0.7587890625,-89.46654398180544,741.2578125,540.453125,0.7001953125,62.273087322711945,757.0546875,572.015625,0.8125,66.49955761246383,678.0703125,729.828125,0.72705078125,-68.88137371093035,662.2734375,729.828125,0.83740234375,-71.26476758532226,725.4609375,887.640625,0.7958984375,-99.84610784426332
1215.484375,350.7265625,0.86474609375,26.440590728074312,678.921875,366.4921875,0.89013671875,-21.261545177549124,947.203125,350.7265625,0.78125,0.0,1215.484375,587.2109375,0.873046875,17.80634206160903,1199.703125,807.9296875,0.79443359375,-29.960794135928154,1278.609375,949.8203125,0.89990234375,-19.59836058318615,1057.671875,587.2109375,0.875,82.56866975873709,1136.578125,792.1640625,0.83056640625,91.0739758014679,1089.234375,902.5234375,0.87060546875,-39.816814834252,678.921875,918.2890625,0.716796875,-94.77515915222466,742.046875,555.6796875,0.69873046875,62.67683096602559,757.828125,571.4453125,0.80126953125,65.51874508336186,678.921875,729.1015625,0.74072265625,-76.93167029321194,663.140625,729.1015625,0.83203125,-81.05444996245205,726.265625,886.7578125,0.76416015625,-100.72577452473342
1244.3125,351.5390625,0.8740234375,38.002389907836914,672.8125,383.3203125,0.9072265625,0.8850698322057724,942.6875,335.6484375,0.68505859375,0.0,1196.6875,605.7890625,0.8271484375,88.19439774006605,1149.0625,828.2578125,0.442138671875,-1.0,1212.5625,955.3828125,0.84814453125,-11.94184872508049,1149.0625,605.7890625,0.82177734375,104.09393852204084,1228.4375,701.1328125,0.4921875,-1.0,1260.1875,939.4921875,0.8046875,33.234466299414635,641.0625,907.7109375,0.88134765625,-111.27406398206949,720.4375,574.0078125,0.759765625,63.55467843264341,783.9375,558.1171875,0.7939453125,75.1135738864541,625.1875,748.8046875,0.90185546875,-139.03457751870155,736.3125,764.6953125,0.87353515625,-47.8547223880887,815.6875,907.7109375,0.92529296875,-105.9657809138298
1214.3203125,361.6484375,0.86328125,21.98008770495653,670.8515625,377.6328125,0.9033203125,-19.686516226269305,942.5859375,345.6640625,0.73193359375,0.0,1198.3359375,617.3984375,0.8125,85.02455619070679,1166.3671875,745.2734375,0.552734375,-97.70190218277276,1198.3359375,937.0859375,0.86865234375,-34.17478477302939,1150.3828125,601.4140625,0.841796875,92.57772520463914,1230.3046875,713.3046875,0.46533203125,-1.0,1262.2734375,921.1015625,0.75244140625,41.01236452907324,638.8828125,905.1171875,0.90234375,-130.70858352724463,718.8046875,553.4609375,0.75634765625,55.553442403674126,766.7578125,553.4609375,0.77978515625,67.444525022991,622.8984375,745.2734375,0.89990234375,-162.32529786974192,734.7890625,761.2578125,0.85693359375,-53.13916348852217,814.7109375,905.1171875,0.9375,-117.61859259288758
1212.359375,351.703125,0.85546875,28.908990491181612,667.296875,383.765625,0.9072265625,-3.8863896131515503,955.859375,335.671875,0.689453125,0.0,1196.328125,608.203125,0.830078125,103.07734912633896,1180.296875,752.484375,0.472412109375,-1.0,1228.390625,944.859375,0.8203125,-4.055643640458584,1148.234375,608.203125,0.82763671875,104.77008424326777,1228.390625,704.390625,0.490234375,-1.0,1260.453125,912.796875,0.755859375,58.701841585338116,635.234375,912.796875,0.87451171875,-119.50976535305381,731.421875,560.109375,0.78515625,78.4823355935514,779.515625,560.109375,0.8095703125,80.18598894774914,619.203125,752.484375,0.85009765625,-150.3832476735115,731.421875,768.515625,0.8955078125,-38.37318606674671,811.578125,896.765625,0.9052734375,-100.29253023862839
1212.6796875,350.3515625,0.86376953125,28.86567946150899,668.1484375,382.3828125,0.90234375,-1.4452521642670035,956.4296875,334.3359375,0.6767578125,0.0,1196.6640625,606.6015625,0.8037109375,104.60610903892666,1164.6328125,814.8046875,0.4677734375,-1.0,1212.6796875,958.9453125,0.82763671875,-16.457308643497527,1148.6171875,606.6015625,0.8232421875,103.28678783867508,1228.6953125,702.6953125,0.484375,-1.0,1260.7265625,942.9296875,0.78857421875,30.67680933047086,636.1171875,910.8984375,0.89306640625,-122.89991561230272,732.2109375,574.5703125,0.7861328125,82.88101975433528,780.2578125,558.5546875,0.8115234375,83.01314492616802,620.1015625,750.7421875,0.8720703125,-153.10191627033055,732.2109375,766.7578125,0.8974609375,-23.253889242187142,812.2890625,894.8828125,0.904296875,-88.21325083822012
1241.2890625,344.6796875,0.79150390625,21.042924872599542,665.8515625,392.6328125,0.87451171875,-6.660845275036991,953.5703125,344.6796875,0.7255859375,0.0,1145.3828125,616.4140625,0.85107421875,67.32216730806977,1129.3984375,808.2265625,0.583984375,-67.14492021407932,1161.3671875,936.1015625,0.87744140625,-34.417201394215226,1177.3515625,600.4296875,0.8984375,102.33397171925753,1289.2421875,728.3046875,0.492919921875,-1.0,1433.1015625,952.0859375,0.86474609375,138.52179904840887,601.9140625,904.1328125,0.87353515625,-147.31980696786195,697.8203125,568.4609375,0.7666015625,59.80865123029798,745.7734375,568.4609375,0.83349609375,83.26415971666574,601.9140625,744.2890625,0.890625,-163.5872238613665,729.7890625,792.2421875,0.91455078125,-27.862659256905317,825.6953125,920.1171875,0.93994140625,-55.21514151059091
1241.7109375,344.0,0.7998046875,24.50325632095337,665.1484375,392.0,0.88037109375,-4.466386795043945,953.4296875,344.0,0.728515625,0.0,1145.6171875,616.0,0.8525390625,67.88195395469666,1129.6015625,808.0,0.5693359375,-61.08789038658142,1161.6328125,936.0,0.8779296875,-31.063339233398438,1177.6484375,600.0,0.9072265625,105.27527594566345,1257.7265625,712.0,0.50927734375,167.79295754432678,1433.8984375,952.0,0.87548828125,144.60233354568481,601.0859375,904.0,0.87890625,-143.70503306388855,697.1796875,584.0,0.771484375,61.89489126205444,745.2265625,568.0,0.8330078125,87.84735608100891,601.0859375,744.0,0.8876953125,-164.28147864341736,729.2109375,792.0,0.91455078125,-13.911138772964478,825.3046875,920.0,0.9384765625,-44.5269718170166
1239.578125,345.0390625,0.81201171875,25.130086686462164,664.703125,392.8984375,0.88134765625,-3.4177993666380644,952.140625,345.0390625,0.7275390625,0.0,1143.765625,616.2421875,0.8466796875,-10.168605402112007,1127.796875,807.6796875,0.56201171875,-64.74621027521789,1159.734375,951.2578125,0.87646484375,-29.943102430552244,1175.703125,600.2890625,0.88623046875,102.11905983835459,1287.484375,727.9140625,0.52001953125,181.6440436206758,1431.203125,951.2578125,0.84423828125,144.203422319144,600.828125,903.3984375,0.87548828125,-145.66467635519803,696.640625,568.3828125,0.763671875,67.61219386383891,744.546875,568.3828125,0.826171875,86.48337706364691,600.828125,743.8671875,0.884765625,-169.9878908060491,728.578125,791.7265625,0.9140625,-10.084060659632087,824.390625,919.3515625,0.9326171875,-42.862736674025655
